SKU编号,货物名称,入库单号,入库时间,库内保存天数,已经入库天数,2/3预警天数,过期SKU数量,当前库存数量
980,进口水果套餐（3种水果）,ASN170430007,2017-04-30 16:26:01,3,3,2.01,2,2
889,台湾金钻菠萝,ASN170428014,2017-04-28 20:04:00,7,5,4.69,1,1
962,Driscoll&#39;s 蓝莓,ASN170426008,2017-04-27 17:02:00,7,6,4.69,3,3
972,海阳蜜瓜小果,ASN170424005,2017-04-25 18:16:00,10,8,6.7,2,718
866,泰国椰青,ASN170425001,2017-04-25 16:22:00,7,8,4.69,2736,2736
969,海阳蜜瓜中果,ASN170424006,2017-04-24 18:08:00,10,9,6.7,12,1204
971,水果鲜玉米,ASN170424004,2017-04-24 15:22:00,3,9,2.01,26,26
840,麒麟西瓜,ASN170421008,2017-04-21 19:36:00,7,12,4.69,11,11
931,不知火小果,ASN170411006,2017-04-13 16:34:00,15,20,10.05,1,1
