月份,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1月,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2月,,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
3月,,,0,0%,0%,0%,0%,0%,0%,0%,0%,0%
4月,,,,0,0%,0%,0%,0%,0%,0%,0%,0%
5月,,,,,0,0%,0%,0%,0%,0%,0%,0%
6月,,,,,,2,"0
(0.00%)","0
(0.00%)","0
(0.00%)","0
(0.00%)","0
(0.00%)","0
(0.00%)"
7月,,,,,,,2,"1
(50.00%)","1
(50.00%)","1
(50.00%)","1
(50.00%)","1
(50.00%)"
8月,,,,,,,,11,"8
(72.00%)","4
(36.00%)","6
(54.00%)","7
(63.00%)"
9月,,,,,,,,,19,"12
(63.00%)","13
(68.00%)","9
(47.00%)"
10月,,,,,,,,,,10,"7
(70.00%)","7
(70.00%)"
11月,,,,,,,,,,,40,"24
(60.00%)"
12月,,,,,,,,,,,,15
