月份,2016年1月,2016年2月,2016年3月,2016年4月,2016年5月,2016年6月,2016年7月,2016年8月,2016年9月,2016年10月,2016年11月,2016年12月,2017年1月,2017年2月,2017年3月,2017年4月,2017年5月,2017年6月,2017年7月
2016年1月,8,7,4,3,1,2,2,2,1,1,1,1,1,0,2,1,2,1,2
2016年2月,,96,25,22,9,13,12,17,15,12,15,18,15,15,16,14,17,14,16
2016年3月,,,165,46,20,24,9,14,17,13,14,14,17,16,15,12,13,16,11
2016年4月,,,,596,133,125,110,143,133,115,148,134,93,115,144,135,138,123,112
2016年5月,,,,,713,276,203,200,218,193,215,193,124,110,134,135,125,109,109
2016年6月,,,,,,919,331,280,273,230,262,233,188,154,216,208,197,211,163
2016年7月,,,,,,,1114,476,383,301,325,279,199,189,284,253,268,263,254
2016年8月,,,,,,,,1833,709,552,558,521,365,343,500,421,443,432,396
2016年9月,,,,,,,,,3334,864,872,773,544,483,731,673,677,639,551
2016年10月,,,,,,,,,,4164,1250,927,647,528,776,712,665,611,541
2016年11月,,,,,,,,,,,5024,2154,1315,1072,1424,1261,1207,1121,974
2016年12月,,,,,,,,,,,,5853,1878,1326,1774,1494,1387,1287,1135
2017年1月,,,,,,,,,,,,,4332,1062,1321,1079,952,959,782
2017年2月,,,,,,,,,,,,,,3035,1421,1054,932,805,706
2017年3月,,,,,,,,,,,,,,,16464,6694,5181,4452,3785
2017年4月,,,,,,,,,,,,,,,,19550,7081,5538,4504
2017年5月,,,,,,,,,,,,,,,,,21690,7904,5935
2017年6月,,,,,,,,,,,,,,,,,,21311,7162
2017年7月,,,,,,,,,,,,,,,,,,,17086
