月份,2016年1月,2016年2月,2016年3月,2016年4月,2016年5月,2016年6月,2016年7月,2016年8月,2016年9月,2016年10月,2016年11月,2016年12月,2017年1月,2017年2月,2017年3月
2016年1月,7,"5
(71.00%)","3
(42.00%)","1
(14.00%)","2
(28.00%)","2
(28.00%)","0
(0.00%)","2
(28.00%)","1
(14.00%)","1
(14.00%)","1
(14.00%)","2
(28.00%)","2
(28.00%)","0
(0.00%)","2
(28.00%)"
2016年2月,,24,"8
(33.00%)","5
(20.00%)","6
(25.00%)","7
(29.00%)","5
(20.00%)","5
(20.00%)","5
(20.00%)","4
(16.00%)","4
(16.00%)","5
(20.00%)","5
(20.00%)","4
(16.00%)","3
(12.00%)"
2016年3月,,,4,"2
(50.00%)","2
(50.00%)","2
(50.00%)","2
(50.00%)","2
(50.00%)","2
(50.00%)","2
(50.00%)","2
(50.00%)","2
(50.00%)","2
(50.00%)","2
(50.00%)","2
(50.00%)"
2016年4月,,,,21,"12
(57.00%)","7
(33.00%)","5
(23.00%)","11
(52.00%)","8
(38.00%)","7
(33.00%)","6
(28.00%)","5
(23.00%)","3
(14.00%)","5
(23.00%)","8
(38.00%)"
2016年5月,,,,,24,"13
(54.00%)","10
(41.00%)","13
(54.00%)","11
(45.00%)","9
(37.00%)","9
(37.00%)","8
(33.00%)","5
(20.00%)","7
(29.00%)","6
(25.00%)"
2016年6月,,,,,,43,"29
(67.00%)","23
(53.00%)","21
(48.00%)","16
(37.00%)","17
(39.00%)","17
(39.00%)","15
(34.00%)","15
(34.00%)","18
(41.00%)"
2016年7月,,,,,,,66,"51
(77.00%)","45
(68.00%)","40
(60.00%)","38
(57.00%)","36
(54.00%)","31
(46.00%)","30
(45.00%)","30
(45.00%)"
2016年8月,,,,,,,,115,"84
(73.00%)","58
(50.00%)","56
(48.00%)","50
(43.00%)","43
(37.00%)","45
(39.00%)","44
(38.00%)"
2016年9月,,,,,,,,,132,"84
(63.00%)","73
(55.00%)","59
(44.00%)","48
(36.00%)","49
(37.00%)","46
(34.00%)"
2016年10月,,,,,,,,,,102,"76
(74.00%)","59
(57.00%)","50
(49.00%)","48
(47.00%)","49
(48.00%)"
2016年11月,,,,,,,,,,,181,"147
(81.00%)","115
(63.00%)","109
(60.00%)","105
(58.00%)"
2016年12月,,,,,,,,,,,,300,"218
(72.00%)","179
(59.00%)","174
(58.00%)"
2017年1月,,,,,,,,,,,,,182,"119
(65.00%)","122
(67.00%)"
2017年2月,,,,,,,,,,,,,,185,"150
(81.00%)"
2017年3月,,,,,,,,,,,,,,,897
