"商品编码","商品名称","商品批次","库存数量","可支配数量","单位"
"yhdx616","有好东西巢蜜（2盒）","201608281","38","38","71"
"yhdx631","红心猕猴桃","201609053","99","99","70"
"yhdx619","有好东西红黄色小番茄","201609082","2","2","斤"
"yhdx608","有好东西牛油果（6粒装）","201609097","278","278","个"
"yhdx645","有好东西蜜梨","20160911","237","237","箱"
"yhdx635","西梅","201609113","811","811","斤"
"yhdx618","有好东西每日坚果","201609121","22","22","袋"
"yhdx622","有好东西板栗10袋装","201609101","978","978","袋"
"yhdx623","有好东西玫瑰苹果 （12粒装）","201609123","68","68","个"
"yhdx614","有好东西西柚（6粒装）","201609123","20","20","个"
"yhdx525","有好东西金奇异果整件(25#)","201609123","8","8","箱"
"yhdx631","红心猕猴桃","201609123","200","200","箱"
"yhdx624","有好东西海南木瓜","201609131","1","1","盒"
"yhdx605","有好东西火龙果5斤装","201609143","39","39","箱"
"yhdx604","有好东西火龙果8斤装","201609143","13","13","箱"
"yhdx618","有好东西每日坚果","201609143","100","100","袋"
"yhdx634","攀枝花凯特芒","201609143","8","8","箱"
"yhdx644","软籽石榴","201609143","79","79","箱"
"yhdx662","姜母红糖","20160914","150","150","袋"
"yhdx663","玫瑰红糖","20160914","156","156","袋"
"yhdx664","原味红糖","20160914","151","151","袋"
"yhdx644","软籽石榴","20160914","81","81","箱"
